sugar-growth,gini,initial-sugar
1,0.489943218,10.118
1,0.498962509,9.978
1,0.480853752,9.92
1,0.483782245,10.022
1,0.485984813,9.958
1,0.496492459,9.986
1,0.476911646,10.006
1,0.489838733,10.084
1,0.484745779,9.722
1,0.49065673,10.042
1,0.468192576,9.968
1,0.482704468,9.988
1,0.488772938,9.926
1,0.47998404,9.894
1,0.493333173,10.128
1,0.501419929,9.974
1,0.491311036,9.918
1,0.49053546,9.758
1,0.498735503,10.182
1,0.487701985,10.066
1,0.510853467,10.146
1,0.495725956,9.804
1,0.484221971,9.97
1,0.508606175,10.28
1,0.480136345,9.812
1,0.472847384,10.122
1,0.474150347,10.238
1,0.502072335,9.672
1,0.480481866,9.858
1,0.494637501,9.752
1,0.465971777,10.22
1,0.484336668,10.052
1,0.486348517,9.846
1,0.486915701,10.026
1,0.475947408,10.144
1,0.477532013,10.052
1,0.492303823,9.912
1,0.485731665,10.066
1,0.494036398,10.064
1,0.493918267,9.946
1,0.495873292,9.856
1,0.491745937,9.77
1,0.480256027,10.026
1,0.500333171,9.922
1,0.489595884,10.29
1,0.492232724,10.062
1,0.488456339,9.936
1,0.491883395,10.196
1,0.497780246,9.956
1,0.486550505,9.93
1,0.490833455,10.218
1,0.486422369,9.962
1,0.490822041,10.248
1,0.480089459,10.09
1,0.488905464,9.964
1,0.482455502,9.938
1,0.491384809,9.992
1,0.47746649,9.918
1,0.484241318,9.786
1,0.482746172,9.882
1,0.480840264,9.974
1,0.482849213,9.8
1,0.493344904,9.908
1,0.505422636,10.216
1,0.476015273,9.948
1,0.487226651,10.248
1,0.490010443,10.052
1,0.490797269,9.976
1,0.490834214,9.898
1,0.49410422,10.232
1,0.496594395,9.862
1,0.482122763,10
1,0.483089817,9.992
1,0.500048544,9.98
1,0.491273136,10.058
1,0.50217528,10.096
1,0.476653875,9.99
1,0.474514972,10.042
1,0.508726037,10.17
1,0.491513562,9.966
1,0.487843381,10.182
1,0.485628216,9.856
1,0.498441163,9.706
1,0.485604886,9.842
1,0.491343002,9.812
1,0.490646844,10.022
1,0.50394574,9.996
1,0.48862516,9.956
1,0.500293747,10.264
1,0.495531168,9.988
1,0.492921329,10.028
1,0.494069899,10.112
1,0.500322853,9.892
1,0.497218451,10.026
1,0.487563687,9.764
1,0.487660515,10.102
1,0.495255193,10.082
1,0.498672282,10.076
1,0.472226955,9.796
1,0.482668393,9.634
1,0.47918972,9.746
1,0.499374463,10.1
1,0.495265141,9.85
1,0.495286344,10.264
1,0.490325765,9.944
1,0.483991762,10.168
1,0.492403927,9.884
1,0.499388782,9.986
1,0.475560419,10.072
1,0.480990889,10.006
1,0.497492467,9.838
1,0.484393854,9.796
1,0.498437867,9.916
1,0.487364551,10.192
1,0.494439828,9.966
1,0.497665297,9.862
1,0.490870894,9.972
1,0.492388063,10.036
1,0.488164611,10.052
1,0.492733276,10.002
1,0.491069092,10.054
1,0.484970107,10.068
1,0.485826327,9.964
1,0.494839934,9.964
1,0.480715976,9.822
1,0.47623537,9.948
1,0.489071338,9.848
1,0.484936038,10.114
1,0.499506567,10.054
1,0.497401155,10.03
1,0.485889166,9.832
1,0.478373209,9.976
1,0.488538202,10.382
1,0.500434559,9.888
1,0.475673676,10.092
1,0.485357289,9.868
1,0.480723758,10.226
1,0.488286682,9.728
1,0.500649108,10.21
1,0.498326663,10.018
1,0.499885161,10.054
1,0.489840116,9.802
1,0.484801407,9.702
1,0.49321385,10.072
1,0.509760362,9.744
1,0.467095491,9.912
1,0.485990284,9.914
1,0.500422519,10.006
1,0.504475539,10.06
1,0.489523619,9.942
1,0.503551438,10.066
1,0.491376956,9.942
1,0.485950609,10.012
1,0.477090186,10.028
1,0.501121514,10.13
1,0.502473526,9.85
1,0.477984133,10.234
1,0.499126392,10.068
1,0.488763171,10.212
1,0.486671592,10.148
1,0.477178895,10.032
1,0.494181042,9.942
1,0.498768544,10.11
1,0.483306892,10.206
1,0.485823857,9.97
1,0.496122713,9.964
1,0.503501244,10.02
1,0.486510168,9.858
1,0.491261146,10.074
1,0.482061313,9.81
1,0.484944312,9.924
1,0.492212446,9.954
1,0.4775997,9.986
1,0.496039674,9.938
1,0.497110545,10.144
1,0.500202309,9.924
1,0.490578841,9.816
1,0.495566032,9.88
1,0.486836093,9.892
1,0.49170942,9.826
1,0.490570011,9.914
1,0.486598501,10.116
1,0.49582096,10.152
1,0.495068024,9.846
1,0.48382052,9.978
1,0.503950503,9.988
1,0.497122132,10.186
1,0.505517896,10.06
1,0.482969405,10.008
1,0.478457522,9.874
1,0.489980774,9.81
1,0.488054182,10.06
1,0.482460603,9.734
1,0.49042646,9.816
1,0.504780178,9.898
1,0.508014355,9.808
1,0.510475087,10.338
