 borough ,year,theft,robbery,burglary,total_property_crime,total_crime,unemployment(tousands),earnings,number of NVQ4+ aged 16-64,Population estimate,Population per square kilometre
 Westminster ,2015,25065 ,1547 ,3162 ,29774 ,49037 ,7700 ,656.00 ,104200 ,242299 ,11277 
 Wandsworth ,2015,6485 ,457 ,2395 ,9337 ,23226 ,9900 ,670.10 ,152500 ,315134 ,9197 
 Waltham Forest ,2015,4730 ,652 ,2236 ,7618 ,21650 ,9300 ,476.30 ,77900 ,271825 ,7004 
 Tower Hamlets ,2015,7333 ,1136 ,2577 ,11046 ,28600 ,12000 ,554.90 ,98600 ,295909 ,14959 
 Sutton ,2015,2259 ,166 ,1274 ,3699 ,10877 ,5600 ,498.30 ,54700 ,200537 ,4574 
 Southwark ,2015,8982 ,1229 ,2987 ,13198 ,31214 ,12400 ,557.00 ,126600 ,309545 ,10725 
 Richmond upon Thames ,2015,2855 ,151 ,1437 ,4443 ,10739 ,4700 ,648.00 ,85500 ,194730 ,3392 
 Redbridge ,2015,4117 ,660 ,2245 ,7022 ,19562 ,8900 ,533.10 ,86000 ,296919 ,5263 
 Newham ,2015,7744 ,1410 ,2280 ,11434 ,30279 ,12800 ,421.60 ,101400 ,334269 ,9234 
 Merton ,2015,3136 ,265 ,1438 ,4839 ,12659 ,5700 ,548.10 ,79900 ,205248 ,5455 
 Lewisham ,2015,4932 ,823 ,2146 ,7901 ,24289 ,10600 ,517.50 ,109300 ,297912 ,8476 
 Lambeth ,2015,9711 ,1203 ,2576 ,13490 ,34538 ,12600 ,542.90 ,152700 ,324758 ,12113 
 Kingston upon Thames ,2015,2892 ,110 ,932 ,3934 ,10089 ,4500 ,574.60 ,60300 ,173558 ,4658 
 Kensington and Chelsea ,2015,7862 ,409 ,1590 ,9861 ,19718 ,4200 ,632.40 ,70700 ,158112 ,13041 
 Islington ,2015,10293 ,1008 ,2354 ,13655 ,28184 ,8600 ,603.70 ,105400 ,228045 ,15350 
 Hounslow ,2015,5368 ,388 ,1787 ,7543 ,21798 ,7500 ,495.60 ,80500 ,269177 ,4809 
 Hillingdon ,2015,5140 ,326 ,2212 ,7678 ,21990 ,9100 ,498.80 ,77900 ,298370 ,2579 
 Havering ,2015,3801 ,320 ,1943 ,6064 ,16387 ,7900 ,517.50 ,40400 ,249439 ,2220 
