year,ele_con,avg_temp,total_rainfall(mm),unemployment_rate,life expectancy,co2 emission (kt tons),electricity prices,dwelling,GDP,Income,population
2019,12517.9359,11.9,654.9,4.6,82.8,10695.85288,23.4375,3521334,521223,270250,8961989
2018,12594.78134,12.2,580.6,5,82.6,10779.55679,21.4675,3489945,503773,263332,8908081
2017,12822.51295,12,575.2,5.3,82.4,10813.99586,19.82916667,3462634,482802,246534,8825001
2016,12891.54649,11.6,595.1,5.6,82.3,11613.60104,19.94916667,3789904,468619,241826,8769659
2015,13026.05754,11.9,547.6,6.1,82.2,12272.75945,21.20333333,3395119,440662,236113,8666930
2014,13226.32865,12.4,871.4,7,82.1,12665.29027,19.62666667,3371285,423930,217059,8539398
2013,13101.74737,11.7,1387.7,8.7,81.9,15092.36572,18.04416667,3344687,396969,206293,8417458
2012,13275.35697,11,635.2,9.2,81.6,15400.80095,17.37916667,3310899,376487,193289,8308833
2011,13373.9108,12,488.3,9.5,81.3,14279.81575,15.7375,3284690,360999,179573,8204407
2010,13468.49445,10.4,493.7,8.9,80.8,16276.67961,14.8475,3257029,343049,177213,8061495
2009,13370.98474,11.5,680.4,9.2,80.5,15177.64061,15.17583333,3222938,328464,173469,7942594
