year,month,electricity_consumption,avg_temp,total_rainfall(mm),Unemployment,Electricity Prices,Monthly GDP Index,
2015,January,29.87,4.78,239.78,5.7,39.86,91.3,
2015,February,27.37,4.29,114.98,5.6,42.86,91.6,
2015,March,28.35,6.33,168.03,5.5,40.91,91.8,
2015,April,25.18,9.09,75.43,5.5,43.97,92.3,
2015,May,24.75,10.86,153.51,5.6,41.21,92.1,
2015,June,23.44,14.01,85.91,5.6,41.66,92,
2015,July,24.48,15.72,124.77,5.5,42.2,92.3,
2015,August,23.55,15.92,99.54,5.4,40.86,92.3,
2015,September,24.23,12.75,35.15,5.3,42.04,92.6,
2015,October,25.58,10.88,74.39,5.2,40.29,93,
2015,November,26.82,9.49,251.37,5.1,38.01,93,
2015,December,27.4,9.51,300.39,5.1,35.07,93.1,
2016,January,28.98,5.68,215.61,5.1,36.95,93.1,
2016,February,27.28,5.07,167.81,5.1,33.85,93.4,
2016,March,27.89,6.11,86.25,5.1,34.76,93.7,
2016,April,25.19,7.5,85.51,5,34.37,94.2,
2016,May,23.87,12.17,80.51,4.9,34.61,94,
2016,June,23.05,14.86,62.43,4.9,37.51,94.2,
2016,July,23.54,16.7,118.5,4.9,38.4,94.6,
2016,August,23.39,16.86,112.52,5,36.51,94.6,
2016,September,23.76,15.79,171.76,4.8,51.13,94.9,
2016,October,25.9,10.88,48.67,4.8,56.03,95.1,
2016,November,28.16,5.84,101.39,4.8,67.54,95.3,
2016,December,28.47,6.47,129.56,4.7,49.87,95.4,
2017,January,29.78,4.33,84.85,4.7,53.37,95.8,
2017,February,26.18,6.22,142.47,4.6,49.49,95.9,
2017,March,26.34,8.49,118.45,4.6,41.99,96,
2017,April,24.02,9.02,42.13,4.5,42.1,96.2,
2017,May,24.34,13.01,46.5,4.4,41.24,96.5,
2017,June,22.76,15.91,128.26,4.4,39.68,96.6,
2017,July,23.34,16.46,97.11,4.3,43.05,96.7,
2017,August,23.63,15.64,119.75,4.3,43.34,97,
2017,September,23.76,13.51,126.57,4.3,47.17,97.5,
2017,October,25.39,12.34,176.78,4.2,46.68,97.5,
2017,November,27.87,7,116,4.3,51.45,97.8,
2017,December,29.4,5.05,132.08,4.4,56.18,97.4,
2018,January,28.63,5.25,182.49,4.3,50.84,97.4,
2018,February,27.11,3.09,100.49,4.2,53.68,97.4,
2018,March,29.28,4.89,83.21,4.2,56.79,97.9,
2018,April,25.69,9.54,79.82,4.2,50.74,97.7,
2018,May,23.75,12.94,48.06,4.2,54.25,98.1,
2018,June,22.47,15.95,59.62,4,54,98.3,
2018,July,23.62,18.7,70.87,4,57.61,98.5,
2018,August,23.76,16.74,102.32,4,61.94,98.7,
2018,September,23.29,13.8,154.03,4.1,67.69,98.8,
2018,October,25.09,10.71,167.02,4.1,64.76,98.7,
2018,November,26.95,8.23,148.82,4,62.19,99.1,
2018,December,27.75,6.81,124,4,64.32,99,
2019,January,29.4,4.24,77.81,3.9,62.55,99.3,
2019,February,25.19,6.89,96.94,3.9,50.27,99.7,
2019,March,26.85,7.92,158.4,3.8,44.96,99.7,
2019,April,24.53,9.07,31.26,3.8,43.87,99.3,
2019,May,23.8,11.21,74.37,3.8,41.35,99.6,
2019,June,22.32,14.35,75.51,3.9,39.4,99.9,
2019,July,23.18,17.6,122.05,3.8,41.86,100.3,
2019,August,22.8,17.07,207.22,3.9,39.62,100.3,
2019,September,22.93,14.29,128.56,3.8,37.32,100.7,
2019,October,25.87,10.13,154.4,3.8,37.74,100.5,
2019,November,27.69,6.46,58.82,3.8,46.04,100.3,
2019,December,27.94,6.04,207.6,3.8,39.94,100.4,
2020,January,28.19,6.68,216.96,3.9,35.93,100.7,
2020,February,26.08,6.39,259.83,4,32.04,100.2,
2020,March,26.82,6.79,138.3,4,33.22,93.1,
2020,April,20.73,10.32,24.14,4,24.01,73.7,
2020,May,20.48,12.56,60.84,4.1,24.13,76,
2020,June,20.36,15.09,98.87,4.1,28.42,82.8,
2020,July,21.38,15.68,144.73,4.3,31.28,88.9,
2020,August,21.95,17.22,116.54,4.5,37.88,90.8,
2020,September,22.39,13.98,129.67,4.8,45.3,91.8,
2020,October,25.14,10.45,203.16,5,44.65,92.3,
2020,November,25.91,8.74,185.47,5.1,46.83,90.7,
2020,December,27.89,5.27,156.68,5.1,59.57,92.3,
2021,January,28.74,3.29,124.37,5.1,90.94,89.5,
2021,February,24.97,5.13,114.96,5,56.46,90.1,
2021,March,26.72,7.34,153.62,4.9,57.18,92.3,
2021,April,24.2,6.55,18.43,4.8,69.38,95.2,
2021,May,23.8,10.12,61.57,4.8,78.04,96.6,
2021,June,21.44,15.43,57.19,4.7,79.31,97.6,
2021,July,22.35,17.65,37.71,4.6,94.51,97.4,
2021,August,22.01,16.1,72.49,4.5,108.58,98.2,
2021,September,22.44,15.92,118.88,4.3,230.66,98.8,
2021,October,23.97,12.08,241.66,4.2,192.47,99,
2021,November,26.4,7.84,102.52,4.1,209.55,100,
2021,December,27.35,6.39,115.44,4.1,262.52,100.1,
2022,January,27.52,5.2,104.08,3.9,206.88,100.3,
2022,February,24.36,6.84,202.99,3.8,166.93,100.4,
